sigma,rho_sigma
5.321608040201004641e-01,0.000000000000000000e+00
5.361809045226131332e-01,-4.440892098500626162e-16
5.402010050251255802e-01,0.000000000000000000e+00
5.442211055276382492e-01,5.551115123125782702e-17
5.482412060301506962e-01,0.000000000000000000e+00
5.522613065326633652e-01,0.000000000000000000e+00
5.562814070351760343e-01,0.000000000000000000e+00
5.603015075376884813e-01,0.000000000000000000e+00
5.643216080402011503e-01,0.000000000000000000e+00
5.683417085427135973e-01,2.220446049250313081e-16
5.723618090452262663e-01,0.000000000000000000e+00
5.763819095477387133e-01,0.000000000000000000e+00
5.804020100502513824e-01,-2.220446049250313081e-16
5.844221105527638294e-01,0.000000000000000000e+00
5.884422110552764984e-01,0.000000000000000000e+00
5.924623115577889454e-01,0.000000000000000000e+00
5.964824120603016144e-01,0.000000000000000000e+00
6.005025125628140614e-01,0.000000000000000000e+00
6.045226130653267305e-01,0.000000000000000000e+00
6.085427135678391775e-01,0.000000000000000000e+00
6.125628140703518465e-01,0.000000000000000000e+00
6.165829145728642935e-01,0.000000000000000000e+00
6.206030150753769625e-01,2.220446049250313081e-16
6.246231155778894095e-01,0.000000000000000000e+00
6.286432160804020786e-01,0.000000000000000000e+00
6.326633165829145256e-01,0.000000000000000000e+00
6.366834170854271946e-01,0.000000000000000000e+00
6.407035175879396416e-01,0.000000000000000000e+00
6.447236180904523106e-01,0.000000000000000000e+00
6.487437185929647576e-01,0.000000000000000000e+00
6.527638190954774267e-01,0.000000000000000000e+00
6.567839195979899847e-01,0.000000000000000000e+00
6.608040201005025427e-01,0.000000000000000000e+00
6.648241206030152117e-01,0.000000000000000000e+00
6.688442211055276587e-01,0.000000000000000000e+00
6.728643216080403278e-01,0.000000000000000000e+00
6.768844221105527748e-01,0.000000000000000000e+00
6.809045226130654438e-01,0.000000000000000000e+00
6.849246231155778908e-01,0.000000000000000000e+00
6.889447236180905598e-01,0.000000000000000000e+00
6.929648241206030068e-01,0.000000000000000000e+00
6.969849246231156759e-01,0.000000000000000000e+00
7.010050251256281229e-01,0.000000000000000000e+00
7.050251256281407919e-01,0.000000000000000000e+00
7.090452261306532389e-01,0.000000000000000000e+00
7.130653266331659079e-01,0.000000000000000000e+00
7.170854271356783549e-01,0.000000000000000000e+00
7.211055276381910240e-01,0.000000000000000000e+00
7.251256281407034709e-01,0.000000000000000000e+00
7.291457286432161400e-01,0.000000000000000000e+00
7.331658291457285870e-01,0.000000000000000000e+00
7.371859296482412560e-01,0.000000000000000000e+00
7.412060301507538140e-01,0.000000000000000000e+00
7.452261306532663721e-01,0.000000000000000000e+00
7.492462311557790411e-01,0.000000000000000000e+00
7.532663316582914881e-01,0.000000000000000000e+00
7.572864321608041571e-01,0.000000000000000000e+00
7.613065326633166041e-01,0.000000000000000000e+00
7.653266331658292732e-01,0.000000000000000000e+00
7.693467336683417201e-01,0.000000000000000000e+00
7.733668341708543892e-01,0.000000000000000000e+00
7.773869346733668362e-01,0.000000000000000000e+00
7.814070351758795052e-01,0.000000000000000000e+00
7.854271356783919522e-01,0.000000000000000000e+00
7.894472361809046212e-01,0.000000000000000000e+00
7.934673366834170682e-01,0.000000000000000000e+00
7.974874371859297373e-01,0.000000000000000000e+00
8.015075376884421843e-01,0.000000000000000000e+00
8.055276381909548533e-01,0.000000000000000000e+00
8.095477386934673003e-01,0.000000000000000000e+00
8.135678391959799693e-01,0.000000000000000000e+00
8.175879396984924163e-01,0.000000000000000000e+00
8.216080402010050854e-01,0.000000000000000000e+00
8.256281407035175324e-01,0.000000000000000000e+00
8.296482412060302014e-01,0.000000000000000000e+00
8.336683417085428704e-01,0.000000000000000000e+00
8.376884422110553174e-01,0.000000000000000000e+00
8.417085427135679865e-01,0.000000000000000000e+00
8.457286432160804335e-01,0.000000000000000000e+00
8.497487437185931025e-01,0.000000000000000000e+00
8.537688442211055495e-01,0.000000000000000000e+00
8.577889447236182185e-01,0.000000000000000000e+00
8.618090452261306655e-01,0.000000000000000000e+00
8.658291457286433346e-01,0.000000000000000000e+00
8.698492462311557816e-01,0.000000000000000000e+00
8.738693467336684506e-01,0.000000000000000000e+00
8.778894472361808976e-01,0.000000000000000000e+00
8.819095477386935666e-01,0.000000000000000000e+00
8.859296482412060136e-01,0.000000000000000000e+00
8.899497487437186827e-01,0.000000000000000000e+00
8.939698492462311297e-01,0.000000000000000000e+00
8.979899497487437987e-01,0.000000000000000000e+00
