# C-282 ζ(s) 켤레합 포함 A_L 재측정 — B-50 검증
# T_MAX=2000.0, CENTER=0.5, TRIM=40%
# n_all=1517, n_valid=910
# NEW: 전체 영점 + 켤레합 (C-270 방식)
# OLD: ±300 이웃, 같은편만 (C-278 방식)

## 핵심 결과
ρ_S(A_bare_old × gap_min  [C-278]) = -0.928669  p=0.0000e+00
ρ_S(A_L_old    × gap_min  [C-278]) = -0.840553  p=5.9254e-244
ρ_S(A_L_new    × gap_min  [C-282]) = -0.799613  p=2.6287e-203
ρ_S(A_Λ_new    × gap_min  [C-282]) = -0.899825  p=0.0000e+00
ρ_S(A_L_new    × gap_right[C-282]) = -0.164520  p=6.0327e-07
ρ_S(A_Λ_new    × gap_right[C-282]) = -0.455323  p=8.9803e-48

GUE_ref = -0.857
C-270_ref_A_L = -0.800
C-270_ref_A_Lambda = -0.900

## 보조 통계
2H1/A_L_new_mean  = 0.842124
2H1/A_bare_old_mean = 0.899098
mean_A_L_new      = 8.7560
mean_A_Lambda_new = 8.3713
mean_A_bare_old   = 8.0753
mean_A_L_old      = 8.7848
mean_S1_conj      = 0.752959

## 개별 데이터
t,A_bare_old,A_L_old,A_L_new,A_Lambda_new,gap_min_gue,gap_right_gue,S1_conj,H1_conj,sm_im,im_gamma_S
640.694795,3.454240,4.515745,3.440191,4.444754,0.920569,0.920569,0.982842,0.000735,0.785788,0.785788
641.945500,3.699236,4.254871,3.708758,4.204970,0.920957,0.981838,0.981925,0.000733,0.785788,0.785788
643.278884,3.183052,3.516156,3.203882,3.475424,0.982278,1.260972,0.980948,0.000731,0.785787,0.785787
644.990578,3.267606,4.511476,3.242761,4.424457,1.000702,1.000702,0.979698,0.000729,0.785786,0.785786
646.348192,3.585355,4.643845,3.569222,4.563495,1.001156,1.042414,0.978710,0.000727,0.785785,0.785785
647.761753,4.794565,6.360424,4.750746,6.250563,0.755971,0.755971,0.977683,0.000726,0.785784,0.785784
648.786401,4.650698,5.089937,4.667806,5.037618,0.756229,1.041458,0.976940,0.000724,0.785783,0.785783
650.197519,13.275970,16.054212,13.158495,15.865485,0.347900,0.347900,0.975919,0.000723,0.785783,0.785783
650.668684,16.532123,13.424029,16.771586,13.586614,0.347954,2.201381,0.975578,0.000722,0.785782,0.785782
653.649572,9.773617,13.245986,9.613621,13.013636,0.482233,0.482233,0.973431,0.000718,0.785781,0.785781
654.301921,7.373245,7.049513,7.439703,7.038706,0.482337,1.040716,0.972963,0.000718,0.785780,0.785780
655.709463,3.945578,4.863819,3.934001,4.773129,0.928077,0.928077,0.971954,0.000716,0.785779,0.785779
656.964085,4.117233,4.894496,4.114532,4.810214,0.896570,0.896570,0.971056,0.000714,0.785779,0.785779
658.175614,3.799535,4.170943,3.824349,4.111546,0.896925,1.101774,0.970192,0.000713,0.785778,0.785778
659.663846,4.228938,5.380817,4.199983,5.266134,0.779856,0.779856,0.969132,0.000711,0.785777,0.785777
660.716733,4.164126,4.041860,4.225830,4.014545,0.780123,1.170573,0.968384,0.000710,0.785777,0.785777
662.296586,2.707551,3.195283,2.725492,3.123058,1.171174,1.444100,0.967264,0.000708,0.785776,0.785776
664.244605,4.584374,6.685663,4.484908,6.496387,0.814598,0.814598,0.965887,0.000706,0.785775,0.785775
665.342763,4.967849,6.222698,4.928572,6.090504,0.814886,0.869966,0.965112,0.000704,0.785774,0.785774
666.515148,8.713851,10.651749,8.620397,10.462573,0.470151,0.470151,0.964287,0.000703,0.785773,0.785773
667.148495,9.586202,7.842202,9.788129,7.943397,0.470247,1.356773,0.963842,0.000702,0.785773,0.785773
668.975849,3.111240,3.873380,3.108737,3.770010,1.001253,1.001253,0.962561,0.000700,0.785772,0.785772
670.323585,2.940867,3.245475,2.976439,3.178100,1.001685,1.586508,0.961618,0.000699,0.785771,0.785771
